"school_name";"koreaS_code";"school_code"
"내유초등학교";"J10";7621053
"내정중학교";"J10";7551013
"내정초등학교";"J10";7551054
"내촌중학교";"J10";7711008
"내촌초등학교";"J10";7711021
"내혜홀초등학교";"J10";7761021
"냉정초등학교";"J10";7781029
"냉천초등학교";"J10";7621054
"노비따스음악중고등학교";"J10";7531372
"노진초등학교";"J10";7679017
"녹양중학교";"J10";7561080
"녹양초등학교";"J10";7561022
"논곡중학교";"J10";7781092
"늘봄초등학교";"J10";7679464
"늘푸른고등학교";"J10";7530625
"늘푸른중학교";"J10";7551009
"늘푸른초등학교";"J10";7551053
"능곡고등학교";"J10";7530060
"능곡중학교";"J10";7621013
"능곡초등학교";"J10";7621055
"능길초등학교";"J10";7611038
"능내초등학교";"J10";7642015
"능동고등학교";"J10";7530942
"능동중학교";"J10";7679103
"능동초등학교";"J10";7679018
"능북초등학교";"J10";7661020
"능서초등학교";"J10";7661021
"능실중학교";"J10";7541354
"능실초등학교";"J10";7541341
"능안초등학교";"J10";7681030
"능원초등학교";"J10";7751074
"다문초등학교";"J10";7731020
"다산가람초등학교";"J10";7652300
"다산고등학교";"J10";7530608
"다산별빛초등학교";"J10";7652326
"다산새봄중학교";"J10";7652343
"다산새봄초등학교";"J10";7652304
"다산하늘초등학교";"J10";7652324
"다산한강중학교";"J10";7652309
"다산한강초등학교";"J10";7652305
"다솔초등학교";"J10";7541356
"다솜초등학교";"J10";7621166
"다온중학교";"J10";7561134
"다온초등학교";"J10";7679398
"다원중학교";"J10";7679399
"다원초등학교";"J10";7679405
"다원학교";"J10";7531254
"다율초등학교";"J10";7681213
"단남초등학교";"J10";7551055
"단대초등학교";"J10";7551056
"단샘초등학교";"J10";7692196
"단원고등학교";"J10";7530654
"단원중학교";"J10";7611120
"단월중학교";"J10";7731012
"달안초등학교";"J10";7569015
"답내초등학교";"J10";7652051
"당동중학교";"J10";7642049
"당동초등학교";"J10";7642033
"당수초등학교";"J10";7541074
"당정중학교";"J10";7642050
"당정초등학교";"J10";7642034
"당촌초등학교";"J10";7551057
"대경중학교";"J10";7711004
"대곡초등학교";"J10";7621056
"대곶중학교";"J10";7771007
"대곶초등학교";"J10";7771025
"대광중학교";"J10";7701005
"대광초등학교";"J10";7701012
"대남초등학교";"J10";7611039
"대덕초등학교";"J10";7761022
"대동초등학교";"J10";7611040
"대부고등학교";"J10";7530785
"대부중학교";"J10";7611012
"대부초등학교";"J10";7611041
"대서초등학교";"J10";7741017
"대선초등학교";"J10";7541062
"대성동초등학교";"J10";7681031
"대성초등학교";"J10";7721011
"대송중학교";"J10";7621014
"대신고등학교";"J10";7530150
"대신중학교";"J10";7661012
"대신초등학교";"J10";7661022
"대아초등학교";"J10";7731021
"대안여자중학교";"J10";7569058
"대안중학교";"J10";7569057
"대야초등학교";"J10";7781025
"대양초등학교";"J10";7679380
"대원중학교";"J10";7551253
"대원초등학교";"J10";7551058
"대월중학교";"J10";7741003
"대월초등학교";"J10";7741018
"대일초등학교";"J10";7551059
"대지고등학교";"J10";7530824
"대지중학교";"J10";7751023
"대지초등학교";"J10";7751076
"대청초등학교";"J10";7751062
"대평고등학교";"J10";7530554
"대평중학교";"J10";7541019
"대평초등학교";"J10";7541134
"대하초등학교";"J10";7551060
"대현초등학교";"J10";7751077
"대호중학교";"J10";7679104
"대호초등학교";"J10";7679078
"대화고등학교";"J10";7531042
"대화중학교";"J10";7621015
"대화초등학교";"J10";7621057
"대흥중학교";"J10";7781005
"덕계고등학교";"J10";7530619
"덕계중학교";"J10";7602014
"덕계초등학교";"J10";7602015
"덕도초등학교";"J10";7602017
"덕동초등학교";"J10";7631030
"덕산고등학교";"J10";7530555
"덕산중학교";"J10";7581012
"덕성초등학교";"J10";7611042
"덕소고등학교";"J10";7530151
"덕소중학교";"J10";7652053
"덕소초등학교";"J10";7652054
"덕암초등학교";"J10";7681032
"덕양중학교";"J10";7621017
"덕영고등학교";"J10";7531328
"덕은초등학교";"J10";7621058
"덕은한강중학교";"J10";7621395
"덕은한강초등학교";"J10";7621394
"덕이고등학교";"J10";7531043
"덕이중학교";"J10";7621299
"덕이초등학교";"J10";7621059
"덕인초등학교";"J10";7611115
"덕장중학교";"J10";7642124
"덕장초등학교";"J10";7642016
"덕정고등학교";"J10";7530470
"덕정중학교";"J10";7602019
"덕정초등학교";"J10";7602020
"덕천초등학교";"J10";7569016
"덕풍중학교";"J10";7692088
"덕풍초등학교";"J10";7692013
"덕현고등학교";"J10";7530979
"덕현중학교";"J10";7602022
"도곡중학교";"J10";7631125
"도곡초등학교";"J10";7692014
"도궁초등학교";"J10";7692015
"도농고등학교";"J10";7530857
"도농중학교";"J10";7652056
"도농초등학교";"J10";7652057
"도당고등학교";"J10";7530471
"도당중학교";"J10";7581267
"도당초등학교";"J10";7581046
"도덕초등학교";"J10";7591024
"도둔초등학교";"J10";7602023
"도래울고등학교";"J10";7531165
"도래울중학교";"J10";7621327
"도래울초등학교";"J10";7621326
"도림초등학교";"J10";7652059
"도마산초등학교";"J10";7681033
"도수초등학교";"J10";7692016
"도심초등학교";"J10";7652061
"도암초등학교";"J10";7741019
"도원초등학교";"J10";7581047
"도이초등학교";"J10";7679019
"도일초등학교";"J10";7781040
"도장중학교";"J10";7642041
"도장초등학교";"J10";7642017
"도제원초등학교";"J10";7652063
"도지초등학교";"J10";7741020
"도창초등학교";"J10";7781016
"도척초등학교";"J10";7692017
"도촌중학교";"J10";7551151
"도촌초등학교";"J10";7551149
"도평초등학교";"J10";7711022
"독정초등학교";"J10";7751048
"돌마고등학교";"J10";7530523
"돌마초등학교";"J10";7551061
"동곡초등학교";"J10";7581048
"동광고등학교";"J10";7530990
"동광중학교";"J10";7551251
"동구중학교";"J10";7652065
"동구초등학교";"J10";7652066
"동국대학교사범대학부속영석고등학교";"J10";7530999
"동남고등학교";"J10";7530484
"동남중학교";"J10";7711016
"동두천고등학교";"J10";7530153
"동두천송내초등학교";"J10";7602024
"동두천신천초등학교";"J10";7602026
"동두천여자중학교";"J10";7602028
"동두천외국어고등학교";"J10";7530655
"동두천중앙고등학교";"J10";7530544
"동두천중학교";"J10";7602030
"동두천초등학교";"J10";7602031
"동막초등학교";"J10";7751183
"동방학교";"J10";7530424
"동백고등학교";"J10";7530823
"동백중학교";"J10";7751196
"동백초등학교";"J10";7751184
"동보초등학교";"J10";7602033
"동부중학교";"J10";7692082
"동부초등학교";"J10";7692018
"동삭초등학교";"J10";7631031
"동산초등학교";"J10";7581142
"동성고등공민학교";"J10";7692087
"동성중학교";"J10";7541056
"동수원중학교";"J10";7541018
"동수원초등학교";"J10";7541075
"동신초등학교";"J10";7761023
"동안고등학교";"J10";7530063
"동안초등학교";"J10";7569017
"동암중학교";"J10";7561081
"동암초등학교";"J10";7561073
"동양초등학교";"J10";7679020
"동오초등학교";"J10";7561024
"동우여자고등학교";"J10";7530154
"동원고등학교";"J10";7530155
"동인초등학교";"J10";7652068
"동일공업고등학교";"J10";7530327
"동천초등학교";"J10";7751075
"동탄고등학교";"J10";7530820
"동탄국제고등학교";"J10";7530976
"동탄목동중학교";"J10";7679422
"동탄목동초등학교";"J10";7679419
"동탄중앙고등학교";"J10";7531159
"동탄중앙초등학교";"J10";7679339
"동탄중학교";"J10";7679105
"동탄초등학교";"J10";7679021
"동패고등학교";"J10";7530969
"동패중학교";"J10";7681152
"동패초등학교";"J10";7681034
"동학중학교";"J10";7679106
"동학초등학교";"J10";7679022
"동현학교";"J10";7530425
"동화고등학교";"J10";7530156
"동화중학교";"J10";7652070
"동화초등학교";"J10";7679023
"두레자연고등학교";"J10";7530485
"두레자연중학교";"J10";7679126
"두원공업고등학교";"J10";7531257
"두일중학교";"J10";7681110
"두일초등학교";"J10";7681107
"두창초등학교";"J10";7751320
"둔대초등학교";"J10";7642018
"둔전제일초등학교";"J10";7751228
"둔전초등학교";"J10";7642019
"라온고등학교";"J10";7531294
"라온중학교";"J10";7631216
"마도초등학교";"J10";7679024
"마북초등학교";"J10";7751078
"마산초등학교";"J10";7679025
"마석고등학교";"J10";7530972
"마석중학교";"J10";7652071
"마석초등학교";"J10";7652072
"마성초등학교";"J10";7751079
"마송고등학교";"J10";7530930
"마송중앙초등학교";"J10";7771101
"마송중학교";"J10";7771103
"마송초등학교";"J10";7771026
"마장고등학교";"J10";7530649
"마장중학교";"J10";7741004
"마장초등학교";"J10";7741021
"마전초등학교";"J10";7761024
"마정초등학교";"J10";7681035
"마지초등학교";"J10";7681036
"만선초등학교";"J10";7692019
"만송초등학교";"J10";7602123
"만안초등학교";"J10";7569019
"만정중학교";"J10";7761100
"만정초등학교";"J10";7761099
"망월초등학교";"J10";7692020
"망포고등학교";"J10";7530844
"망포중학교";"J10";7541048
"망포초등학교";"J10";7541401
"매류초등학교";"J10";7661023
"매봉초등학교";"J10";7751326
"매산초등학교";"J10";7541076
"매송중학교";"J10";7551015
"매양중학교";"J10";7692162
"매여울초등학교";"J10";7541235
"매원고등학교";"J10";7530845
"매원중학교";"J10";7541021
"매원초등학교";"J10";7541077
"매탄고등학교";"J10";7530652
"매탄중학교";"J10";7541236
"매탄초등학교";"J10";7541078
"매향여자정보고등학교";"J10";7530497
"매향중학교";"J10";7541059
"매현중학교";"J10";7541023
"매현초등학교";"J10";7541079
"매홀고등학교";"J10";7531139
"매홀중학교";"J10";7679107
"매홀초등학교";"J10";7679079
